pm_name,term_label,year_start,year_end,count,source,source_url
Jose Luis Rodriguez Zapatero,Zapatero I,2004,2008,683,Portal de Transparencia,https://transparencia.gob.es/transparencia/transparencia_Home/index/MasSobreTransparencia/Informes-de-evaluacion/Retribuciones-altos-cargos.html
Jose Luis Rodriguez Zapatero,Zapatero II,2008,2011,730,Portal de Transparencia,https://transparencia.gob.es/transparencia/transparencia_Home/index/MasSobreTransparencia/Informes-de-evaluacion/Retribuciones-altos-cargos.html
Mariano Rajoy,Rajoy I,2011,2015,644,Portal de Transparencia,https://transparencia.gob.es/transparencia/transparencia_Home/index/MasSobreTransparencia/Informes-de-evaluacion/Retribuciones-altos-cargos.html
Mariano Rajoy,Rajoy II,2016,2018,697,Portal de Transparencia,https://transparencia.gob.es/transparencia/transparencia_Home/index/MasSobreTransparencia/Informes-de-evaluacion/Retribuciones-altos-cargos.html
Pedro Sanchez,Sanchez I,2018,2019,697,Portal de Transparencia,https://transparencia.gob.es/transparencia/transparencia_Home/index/MasSobreTransparencia/Informes-de-evaluacion/Retribuciones-altos-cargos.html
Pedro Sanchez,Sanchez II,2019,2023,766,Portal de Transparencia,https://transparencia.gob.es/transparencia/transparencia_Home/index/MasSobreTransparencia/Informes-de-evaluacion/Retribuciones-altos-cargos.html
Pedro Sanchez,Sanchez III,2023,2027,,Portal de Transparencia,https://transparencia.gob.es/transparencia/transparencia_Home/index/MasSobreTransparencia/Informes-de-evaluacion/Retribuciones-altos-cargos.html
